W_Imp,W_Pip,W_Sur,W_Uni,S_Imp,S_OD,S_Pip,S_Uni
7.66463692665846e-05,0.00379828818380392,0.00863590272661503,0.00183675084012654,0.00301269780168264,0.00703039374192001,0.0098392007596932,0.00940719610826871
-2.14685341501042e-07,0.00416299781581597,0.00769427244361058,0.00037998425334282,0.00146289751118743,0.00865880067586893,0.0105989088637492,0.00939065959090711
9.93040444269755e-05,0.00791951412327067,0.0121336302927522,0.00233596550577252,0.0015957856198401,0.00930391633069443,0.00741424760980651,0.0104851419636415
0.00038710379400273,0.00408213798421755,0.0106861720841927,0.00133721983002793,0.00161773780399689,0.0064071460012177,0.00832981306136464,0.00564204349466567
0.000113111580878101,0.00634620224293027,0.00736076256408895,0.0017385671983533,0.00463983052705715,0.00595885100418575,0.00691719644646074,0.0113730562539559
0.000155074030644642,0.00499450807463018,0.0126344001626121,0.00148698149784093,0.00299458499866035,0.00905341385106787,0.0079771640092437,0.00794793439471833
7.61552440811548e-05,0.00425936886232047,0.0070088018383454,0.0022221488289863,0.00174239832154116,0.00487230473218655,0.0078463041042922,0.00787480593017876
0.000391405330894525,0.00420388647544852,0.0125078432695069,0.00106447206779867,0.00227063579870913,0.0067059414211543,0.010138527486175,0.0124328127341824
0.00120885463587301,0.004098364143726,0.0117828431958466,0.000917709798131452,0.00384498590399922,0.00946368558128624,0.0102222348536586,0.0115164794702778
0.000464062714876672,0.0044344387931575,0.00889841221329072,0.00118102886068684,0.00210676317100609,0.00862175979187298,0.00847272866458696,0.00799970978392207
